City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,eureka,40.8021,-124.1637,292.41,77,4,1.34,US,1695494204
1,mejit,10.2753,170.8646,301.59,73,100,3.34,MH,1695494204
2,albany,42.6001,-73.9662,288.38,79,100,0.89,US,1695494194
3,blackmans bay,-43.0167,147.3167,280.11,93,31,2.59,AU,1695494204
4,utrik,11.2278,169.8474,301.57,75,100,8.81,MH,1695494204
5,codrington,-38.2667,141.9667,280.28,81,0,3.27,AU,1695494204
6,mga,59.75,31.0667,294.11,62,99,5.69,RU,1695494205
7,tazovsky,67.4667,78.7,273.1,83,56,6.59,RU,1695494205
8,afaahiti,-17.75,-149.2833,295.08,93,100,11.29,PF,1695494205
9,ancud,-41.8697,-73.8203,282.0,57,100,1.63,CL,1695494206
10,puerto natales,-51.7236,-72.4875,283.4,46,75,7.72,CL,1695494206
11,kuta,-8.7233,115.1723,298.15,94,20,2.68,ID,1695494206
12,vanino,49.0869,140.2543,281.58,75,7,2.65,RU,1695493935
13,luganville,-15.5333,167.1667,296.14,85,98,2.15,VU,1695494207
14,wailua homesteads,22.0669,-159.378,298.39,81,75,6.17,US,1695494207
15,shangrao,28.4532,117.9686,294.73,96,78,1.86,CN,1695494207
16,tanggu,39.0211,117.6469,291.13,54,89,2.28,CN,1695494207
17,grytviken,-54.2811,-36.5092,271.31,83,99,4.11,GS,1695494207
18,sungai raya,0.7,108.9,298.67,79,99,3.46,ID,1695494207
19,lihue,21.9789,-159.3672,298.73,82,75,6.17,US,1695494208
20,adamstown,-25.066,-130.1015,293.78,88,96,11.92,PN,1695494209
21,aasiaat,68.7098,-52.8699,272.85,62,0,3.77,GL,1695494209
22,imperatriz,-5.5264,-47.4917,309.18,41,40,2.57,BR,1695494209
23,dera bugti,29.0307,69.151,303.25,55,4,2.39,PK,1695494209
24,gobabis,-22.45,18.9667,294.19,46,98,4.1,NA,1695494209
25,yellowknife,62.456,-114.3525,284.44,82,100,4.63,CA,1695494209
26,ilulissat,69.2167,-51.1,276.16,28,20,6.69,GL,1695494209
27,shakawe,-18.3667,21.85,298.89,17,22,2.96,BW,1695494209
28,sola,-13.8833,167.55,298.19,74,97,4.51,VU,1695494210
29,gaigeturi,33.4644,126.3183,296.18,73,75,7.72,KR,1695494210
30,olonkinbyen,70.9221,-8.7187,275.09,66,100,4.2,SJ,1695494210
31,moab,38.5733,-109.5498,297.31,20,57,1.6,US,1695494210
32,san patricio,28.017,-97.5169,309.19,43,15,6.39,US,1695494210
33,bethel,41.3712,-73.414,288.82,84,100,0.45,US,1695494210
34,qui nhon,13.7667,109.2333,299.21,87,100,1.56,VN,1695494210
35,kathu,7.9178,98.3332,301.31,80,95,7.34,TH,1695494210
36,portland,45.5234,-122.6762,291.76,71,100,3.13,US,1695493981
37,vorgashor,67.5833,63.95,277.22,96,100,6.37,RU,1695494211
38,bilibino,68.0546,166.4372,273.65,98,100,1.91,RU,1695493940
39,aykhal,66.0,111.5,278.97,96,40,3.62,RU,1695494211
40,port mathurin,-19.6833,63.4167,296.34,65,30,11.24,MU,1695494211
41,jamestown,42.097,-79.2353,294.92,37,0,5.14,US,1695494058
42,sant antoni de portmany,38.9807,1.3036,295.98,63,0,2.06,ES,1695494211
43,chonchi,-42.6128,-73.8092,282.71,61,100,1.95,CL,1695494211
44,ust-nera,64.5667,143.2,271.27,95,100,0.54,RU,1695493938
45,puerto ayora,-0.7393,-90.3518,302.13,86,83,3.13,EC,1695494212
46,mikhaylov,54.2292,39.0186,288.48,43,76,3.46,RU,1695494212
47,talnakh,69.4865,88.3972,274.38,79,66,7.24,RU,1695494212
48,saint-joseph,-21.3667,55.6167,295.36,78,17,6.08,RE,1695494212
49,egilsstadir,65.2653,-14.3948,279.1,75,100,1.03,IS,1695494212
50,port-aux-francais,-49.35,70.2167,275.01,88,84,22.57,TF,1695494212
51,lupane,-18.9315,27.807,295.45,23,0,2.88,ZW,1695494212
52,punta arenas,-53.15,-70.9167,282.21,61,40,15.43,CL,1695494108
53,mirnyy,62.5353,113.9611,279.95,81,51,1.79,RU,1695494213
54,suda,59.1525,37.5582,292.21,54,0,5.56,RU,1695494213
55,rongelap,11.1635,166.8941,301.33,80,100,7.77,MH,1695494213
56,labytnangi,66.6572,66.4183,277.49,95,100,3.96,RU,1695494213
57,rybinsk,58.0446,38.8426,291.11,54,0,4.02,RU,1695494213
58,la mana,-0.9333,-79.2167,307.38,50,33,2.09,EC,1695494213
59,haiku-pauwela,20.9219,-156.3051,299.28,77,40,6.17,US,1695494214
60,labrador city,52.9463,-66.9114,283.1,76,100,5.14,CA,1695494060
61,waitangi,-43.9535,-176.5597,285.83,95,100,1.79,NZ,1695494214
62,sitka,57.0531,-135.33,282.09,81,40,2.57,US,1695493931
63,at taj,24.2049,23.2857,299.96,16,0,3.26,LY,1695494214
64,naifaru,5.4444,73.3657,301.51,75,95,4.59,MV,1695494214
65,keflavik,64.0049,-22.5624,283.39,87,75,3.09,IS,1695494214
66,talara,-4.5772,-81.2719,299.57,61,0,8.02,PE,1695494214
67,baukau,51.5526,7.2042,288.66,71,39,1.79,DE,1695494215
68,tromso,69.6496,18.957,281.16,81,75,4.12,NO,1695493986
69,longyearbyen,78.2186,15.6401,268.06,80,20,2.06,SJ,1695494108
70,floro,61.5996,5.0328,283.13,81,75,6.69,NO,1695494215
71,ushuaia,-54.8,-68.3,276.96,93,100,13.89,AR,1695494215
72,tofol,5.3248,163.0078,300.81,78,100,6.05,FM,1695494215
73,daru,-9.0763,143.2092,297.68,88,86,8.3,PG,1695494215
74,bredasdorp,-34.5322,20.0403,284.32,80,100,4.16,ZA,1695494215
75,sos'va,59.1766,61.8558,283.48,97,12,2.88,RU,1695494216
76,st. john's,47.5649,-52.7093,290.81,67,75,10.8,CA,1695494216
77,cananeia,-25.0147,-47.9267,297.3,78,13,2.86,BR,1695494216
78,carnarvon,-24.8667,113.6333,290.81,78,0,8.61,AU,1695494216
79,hermanus,-34.4187,19.2345,284.15,78,100,7.53,ZA,1695494217
80,taroa,8.7058,171.2275,300.67,77,100,1.4,MH,1695494217
81,bandon,51.7469,-8.7425,289.92,97,100,7.49,IE,1695494217
82,kodiak,57.79,-152.4072,279.88,81,100,2.06,US,1695494217
83,dagomys,43.6703,39.6689,293.12,60,0,2.22,RU,1695494217
84,enewetak,11.3474,162.3373,300.43,83,100,4.08,MH,1695494217
85,georgetown,5.4112,100.3354,299.83,94,20,0.0,MY,1695494152
86,nadi,-17.8,177.4167,297.15,88,75,2.57,FJ,1695494178
87,port augusta,-32.5,137.7667,284.86,45,0,1.59,AU,1695494218
88,tralee,52.2704,-9.7026,288.46,98,100,3.04,IE,1695494218
89,ribeira grande,38.5167,-28.7,297.37,83,75,5.66,PT,1695494218
90,nova sintra,14.8667,-24.7167,297.54,79,98,4.69,CV,1695494218
91,paita,-5.0892,-81.1144,295.73,71,70,7.9,PE,1695494218
92,midvagur,62.0511,-7.1939,279.61,75,75,1.03,FO,1695494218
93,lompoc,34.6391,-120.4579,293.49,78,100,3.09,US,1695493958
94,westport,41.1415,-73.3579,289.52,83,100,8.75,US,1695494219
95,margate,51.3813,1.3862,287.42,67,100,0.89,GB,1695494219
96,brokopondo,4.75,-55.1667,306.92,44,54,1.03,SR,1695494219
97,paoua,7.2427,16.4406,294.3,92,16,0.44,CF,1695494219
98,kapa'a,22.0752,-159.319,299.14,81,75,6.17,US,1695494219
99,visakhapatnam,17.69,83.2093,301.09,100,75,2.06,IN,1695494220
100,whitehorse,60.7161,-135.0538,278.76,79,75,5.14,CA,1695494220
101,kawanoecho,34.0167,133.5667,292.91,72,100,2.64,JP,1695494221
102,port lincoln,-34.7333,135.8667,287.6,61,0,4.27,AU,1695494177
103,saipan,15.1355,145.701,300.54,83,0,1.54,MP,1695494221
104,yuzhno-kurilsk,44.0306,145.8556,285.71,71,0,1.38,RU,1695494221
105,nova xavantina,-14.6667,-52.35,313.99,14,34,2.25,BR,1695494221
106,tshikapa,-6.4167,20.8,298.63,69,85,1.83,CD,1695494221
107,mutum,-19.8,-41.4383,306.3,32,23,1.39,BR,1695494221
108,thompson,55.7435,-97.8558,294.24,43,20,3.09,CA,1695494222
109,edinburgh of the seven seas,-37.0676,-12.3116,287.61,92,100,19.15,SH,1695494222
110,anqing,30.5092,117.0506,290.97,94,100,2.41,CN,1695494222
111,tiksi,71.6872,128.8694,274.49,81,93,4.57,RU,1695494222
112,college,64.8569,-147.8028,277.48,90,75,0.0,US,1695494222
113,aripuana,-9.1667,-60.6333,312.3,21,98,0.96,BR,1695494223
114,puerto leguizamo,-0.1934,-74.7819,308.87,36,45,2.25,CO,1695494223
115,prince george,53.9166,-122.753,282.84,66,100,1.54,CA,1695494223
116,ulsteinvik,62.3432,5.8487,286.35,88,100,6.71,NO,1695494223
117,vancleave,30.5405,-88.6875,305.58,47,20,2.57,US,1695494224
118,saint-francois,46.4154,3.9054,285.84,76,0,0.0,FR,1695494224
119,jaru,-10.4389,-62.4664,312.63,22,34,3.46,BR,1695494225
120,constantia,44.1833,28.65,295.76,82,2,5.39,RO,1695494126
121,shache,38.4167,77.2406,287.43,41,0,3.45,CN,1695494225
122,petropavlovsk-kamchatsky,53.0452,158.6483,276.48,87,40,0.0,RU,1695494225
123,fortuna,40.5982,-124.1573,292.0,75,0,2.06,US,1695494225
124,bocaiuva,-17.1078,-43.815,308.99,20,45,2.82,BR,1695494226
125,campo grande,-20.4428,-54.6464,302.9,48,75,6.17,BR,1695494226
126,samdrup jongkhar,26.9167,91.6167,293.62,96,100,1.05,BT,1695494226
127,canutama,-6.5339,-64.3831,310.07,32,98,1.5,BR,1695494226
128,port alfred,-33.5906,26.891,289.36,96,100,0.45,ZA,1695494226
129,kapuskasing,49.4169,-82.4331,294.15,60,75,3.09,CA,1695494227
130,sirte,31.2089,16.5887,301.74,53,96,6.5,LY,1695494228
131,bubaque,11.2833,-15.8333,300.79,73,40,1.11,GW,1695494228
132,udachny,66.4167,112.4,281.18,93,65,3.01,RU,1695494228
133,vilyuchinsk,52.9306,158.4028,277.3,79,61,5.66,RU,1695494228
134,cheremukhovo,60.3484,59.9851,283.41,94,4,1.81,RU,1695494228
135,meadow lakes,61.6247,-149.6011,281.89,83,100,0.0,US,1695494228
136,cill airne,52.05,-9.5167,288.94,98,100,2.52,IE,1695494230
137,umluj,25.0213,37.2685,303.68,61,0,2.54,SA,1695494230
138,ola,59.5833,151.2833,278.23,76,32,1.3,RU,1695494230
139,san antonio de pale,-1.4014,5.6325,297.79,82,95,4.84,GQ,1695494230
140,nar'yan-mar,67.6713,53.087,287.44,91,96,7.69,RU,1695494230
141,qaqortoq,60.7167,-46.0333,278.1,52,100,3.54,GL,1695494231
142,nivala,63.9167,24.9667,286.31,86,100,3.63,FI,1695494231
143,badger,64.8,-147.5333,277.43,90,75,0.0,US,1695494070
144,rustington,50.8103,-0.5067,289.53,60,20,4.12,GB,1695494231
145,altai,46.3722,96.2583,276.63,62,6,2.96,MN,1695494231
146,lebu,-37.6167,-73.65,284.31,65,0,5.64,CL,1695494231
147,hamilton,39.1834,-84.5333,299.48,42,0,5.66,US,1695494069
148,manali,13.1667,80.2667,299.3,86,99,6.43,IN,1695494232
149,progreso,21.2833,-89.6667,307.65,58,0,4.68,MX,1695494232
150,cockburn town,21.4612,-71.1419,302.57,73,19,7.5,TC,1695493934
151,darwin,-12.4611,130.8418,299.2,89,82,1.54,AU,1695494232
152,vanersborg,58.3807,12.3234,286.35,87,0,3.09,SE,1695494232
153,faya-largeau,17.9257,19.1043,308.25,11,24,4.09,TD,1695494233
154,kencong,-8.2833,113.3667,295.31,93,83,0.63,ID,1695494233
155,murun-kuren,49.6342,100.1625,279.48,75,0,2.16,MN,1695494234
156,smidovich,48.6,133.8167,283.1,82,45,3.0,RU,1695494234
157,villa canas,-34.0057,-61.6076,285.11,92,100,2.73,AR,1695494234
158,invercargill,-46.4,168.35,277.05,88,78,1.79,NZ,1695494234
159,belel,7.05,14.4333,289.71,95,91,0.54,CM,1695494234
160,belogorsk,50.9158,128.4611,282.29,76,6,3.52,RU,1695494234
161,saint-philippe,-21.3585,55.7679,295.92,81,37,6.63,RE,1695494234
162,kenai,60.5544,-151.2583,281.01,87,75,1.54,US,1695494129
163,loughrea,53.1969,-8.5669,287.9,97,100,5.61,IE,1695494235
164,novyy urgal,51.0736,132.5642,278.07,94,0,0.15,RU,1695494235
165,domanivka,47.6319,30.9885,292.44,49,3,1.7,UA,1695494235
166,acarau,-2.8856,-40.12,301.94,64,0,10.15,BR,1695494235
167,tefe,-3.3542,-64.7114,306.21,58,40,1.03,BR,1695494235
168,copala,16.65,-98.9833,304.61,65,98,3.32,MX,1695494236
169,cidreira,-30.1811,-50.2056,292.57,97,100,8.52,BR,1695494236
170,peace river,56.2501,-117.286,290.32,59,20,2.57,CA,1695494236
171,lerwick,60.1545,-1.1494,283.15,63,100,2.75,GB,1695494236
172,sorong,-0.8833,131.25,298.53,87,100,5.71,ID,1695494236
173,conception bay south,47.4999,-52.9981,290.78,68,100,9.18,CA,1695494083
174,la passe,45.5549,-0.8967,291.28,68,7,1.26,FR,1695494236
175,ormara,25.2088,64.6357,299.52,86,29,6.39,PK,1695494237
176,mangaratiba,-22.9597,-44.0406,298.63,77,53,1.82,BR,1695494237
177,bodaybo,57.8506,114.1933,281.02,84,10,1.01,RU,1695494237
178,angra do heroismo,38.65,-27.2167,297.49,88,75,4.02,PT,1695494237
179,coquimbo,-29.9533,-71.3436,291.0,67,0,6.69,CL,1695494237
180,isafjordur,66.0755,-23.124,279.17,70,75,6.17,IS,1695494237
181,flying fish cove,-10.4217,105.6791,296.97,88,75,5.66,CX,1695494238
182,salinopolis,-0.6136,-47.3561,302.15,69,1,6.84,BR,1695494238
183,saldanha,-33.0117,17.9442,286.18,72,0,14.36,ZA,1695494238
184,glace bay,46.1969,-59.957,294.8,61,40,9.77,CA,1695494090
185,arraial do cabo,-22.9661,-42.0278,299.13,73,0,4.12,BR,1695494238
186,kindu,-2.95,25.95,294.0,98,100,1.35,CD,1695494238
187,mirny,62.5353,113.9611,279.95,81,51,1.79,RU,1695494238
188,toro,4.6117,-76.0814,303.53,55,53,0.93,CO,1695494238
189,cabo san lucas,22.8909,-109.9124,310.71,58,1,4.34,MX,1695494239
190,kharp,66.8014,65.8081,276.83,98,100,2.08,RU,1695494239
191,zvolen,48.5744,19.1532,288.73,97,100,2.2,SK,1695494239
192,sakaiminato,35.55,133.2333,297.14,60,75,7.72,JP,1695494239
193,katsuren-haebaru,26.3369,127.8719,301.16,88,40,1.54,JP,1695494239
194,trevelin,-43.0858,-71.4639,283.86,57,34,2.34,AR,1695494239
195,anadyr,64.75,177.4833,276.43,100,100,4.0,RU,1695494240
196,san juan de miraflores,-12.1629,-76.9635,292.44,72,16,3.94,PE,1695494241
197,kirensk,57.7853,108.1119,282.02,82,32,1.24,RU,1695494241
